#RPLIDAR SCAN DATA
#COUNT=132948
#Angule	Distance	Quality
250.7656 259.0 47
253.4219 643.0 47
254.1406 640.0 47
254.6250 657.0 47
256.8281 449.0 47
255.9375 900.0 47
256.4063 910.0 47
257.1406 916.0 47
259.2344 440.0 47
260.0781 440.0 47
260.8125 439.0 47
261.0313 438.0 47
261.8750 438.0 47
262.4844 436.0 47
263.0781 436.0 47
263.8125 435.0 47
264.2813 436.0 47
264.8750 434.0 47
265.2344 433.0 47
265.8281 434.0 47
266.5469 434.0 47
267.0313 433.0 47
267.8906 432.0 47
268.3594 433.0 47
268.9531 432.0 47
269.5469 432.0 47
270.4063 432.0 47
270.6250 432.0 47
271.5938 434.0 47
272.0781 434.0 47
272.4219 435.0 47
273.1563 435.0 47
274.0000 435.0 47
274.4688 435.0 47
274.9531 436.0 47
275.5469 436.0 47
276.1406 437.0 47
276.8750 437.0 47
277.2188 439.0 47
278.2031 439.0 47
278.5469 439.0 47
279.2656 440.0 47
279.7500 442.0 47
280.4688 442.0 47
281.2031 443.0 47
281.2969 444.0 47
282.1406 445.0 47
282.6250 446.0 47
283.2188 447.0 47
283.9531 449.0 47
284.5469 449.0 47
285.0156 462.0 47
286.8438 404.0 47
287.2031 389.0 47
288.1719 375.0 47
288.8906 360.0 47
290.0000 348.0 47
290.4688 336.0 47
291.4531 326.0 47
292.4219 315.0 47
292.8906 306.0 47
293.7500 300.0 47
294.0938 302.0 47
294.4531 303.0 47
295.4219 304.0 47
296.0156 305.0 47
296.3750 307.0 47
296.5938 309.0 47
297.5781 310.0 47
298.4219 311.0 47
298.4063 313.0 47
298.8750 314.0 47
300.1094 316.0 47
300.2031 318.0 47
301.3125 320.0 47
301.2813 322.0 47
301.7656 323.0 47
302.4844 326.0 47
302.9688 327.0 47
303.4375 330.0 47
304.2969 331.0 47
305.1563 334.0 47
305.5000 336.0 47
305.9688 338.0 47
306.7031 341.0 47
307.2969 343.0 47
308.0313 346.0 47
308.3750 348.0 47
309.1094 351.0 47
309.3281 353.0 47
309.8125 357.0 47
310.6563 361.0 47
311.0156 365.0 47
311.4844 370.0 47
313.0000 602.0 47
313.5938 608.0 47
314.2031 614.0 47
314.7969 620.0 47
315.4063 625.0 47
316.0000 634.0 47
316.5938 641.0 47
317.2031 648.0 47
317.5469 654.0 47
318.2813 662.0 47
318.7500 669.0 47
319.4844 680.0 47
319.9531 687.0 47
320.4375 696.0 47
321.1563 704.0 47
321.6406 715.0 47
322.3594 724.0 47
322.8438 734.0 47
323.4375 743.0 47
324.0469 753.0 47
324.6406 766.0 47
325.1094 778.0 47
325.7188 788.0 47
326.1875 802.0 47
326.9219 813.0 47
327.3906 824.0 47
328.0000 841.0 47
328.5938 853.0 47
329.2031 869.0 47
329.7969 884.0 47
330.2813 899.0 47
330.8750 918.0 47
331.4844 920.0 47
332.8125 905.0 47
336.4063 866.0 47
337.0156 859.0 47
337.6094 864.0 47
338.2188 860.0 47
338.9375 846.0 47
339.4063 844.0 47
340.6094 844.0 47
341.3438 844.0 47
341.8125 843.0 47
342.4219 842.0 47
343.0156 828.0 47
343.7500 829.0 47
344.2188 824.0 47
344.8125 819.0 47
345.5469 818.0 47
346.0156 818.0 47
346.7500 811.0 47
347.3438 812.0 47
