#RPLIDAR SCAN DATA
#COUNT=53833
#Angule	Distance	Quality
346.7031 1577.0 47
347.3125 1561.0 47
347.9219 1569.0 47
348.5156 1546.0 47
349.1250 1545.0 47
349.7344 1544.0 47
350.3438 1541.0 47
350.9531 1539.0 47
351.5625 1530.0 47
352.1563 1520.0 47
352.7656 1520.0 47
353.3750 1512.0 47
353.9844 1517.0 47
354.5781 1510.0 47
355.1875 1504.0 47
355.7969 1490.0 47
356.4063 1489.0 47
357.0156 1485.0 47
357.6094 1474.0 47
358.2188 1474.0 47
358.8281 1473.0 47
359.4375 1473.0 47
0.0469 1464.0 47
0.6406 1468.0 47
1.3750 1456.0 47
1.9844 1449.0 47
2.4688 1456.0 47
3.2031 1447.0 47
3.6875 1451.0 47
4.4063 1441.0 47
4.8906 1434.0 47
5.5000 1511.0 47
7.4219 3363.0 47
8.0313 3339.0 47
8.6406 3331.0 47
9.2500 3329.0 47
9.8438 3341.0 47
13.2656 1856.0 47
13.8594 1741.0 47
14.4688 1740.0 47
15.0781 1744.0 47
15.6875 1753.0 47
16.2969 1755.0 47
16.9063 1759.0 47
17.5000 1761.0 47
18.1094 1754.0 47
18.7188 1766.0 47
19.3281 1758.0 47
19.9375 1763.0 47
20.5469 1769.0 47
21.1406 1774.0 47
21.7500 1777.0 47
22.3594 1784.0 47
22.9688 1786.0 47
23.5781 1793.0 47
26.2344 3481.0 47
26.8438 3456.0 47
28.6563 3442.0 47
30.7500 1084.0 47
31.3594 1104.0 47
32.5781 1096.0 47
33.1875 1102.0 47
33.7969 1108.0 47
34.4063 1109.0 47
34.8906 1120.0 47
35.6250 1122.0 47
36.2344 1131.0 47
36.8594 1142.0 47
37.4688 1147.0 47
38.0781 1151.0 47
38.6875 1158.0 47
39.1719 1160.0 47
39.9219 1158.0 47
40.5313 1131.0 47
41.0156 1227.0 47
41.6250 1197.0 47
42.2344 1191.0 47
42.8594 1199.0 47
43.4688 1206.0 47
44.0781 1210.0 47
46.4063 3747.0 47
46.8750 3779.0 47
47.4844 4136.0 47
58.6563 220.0 47
52.3906 4116.0 47
53.0000 3975.0 47
54.2188 4172.0 47
55.4375 4429.0 47
56.0469 4781.0 47
59.0938 4588.0 47
62.0156 7067.0 47
62.6250 6826.0 47
63.2344 6743.0 47
64.4688 1803.0 47
65.0781 1811.0 47
66.4375 913.0 47
82.0313 2215.0 47
82.6406 2202.0 47
83.2500 2207.0 47
83.8594 2179.0 47
85.4688 809.0 47
86.0781 809.0 47
86.8125 819.0 47
87.4219 836.0 47
88.0313 814.0 47
88.6406 827.0 47
89.3750 804.0 47
89.7344 809.0 47
90.4688 798.0 47
91.0781 796.0 47
91.6875 791.0 47
92.2969 790.0 47
92.9063 793.0 47
93.5156 798.0 47
97.5000 5351.0 47
98.1094 5354.0 47
98.7188 5395.0 47
99.3281 5386.0 47
99.9375 5400.0 47
100.5469 5253.0 47
101.1563 5153.0 47
101.7656 5156.0 47
102.3750 5133.0 47
106.1094 400.0 47
106.8438 392.0 47
107.9531 387.0 47
108.5625 384.0 47
109.2969 381.0 47
109.5313 381.0 47
110.1406 380.0 47
110.6250 378.0 47
111.6094 376.0 47
111.8438 377.0 47
112.8281 376.0 47
113.3125 376.0 47
113.9219 377.0 47
114.6406 378.0 47
114.8750 378.0 47
115.9844 380.0 47
116.2188 381.0 47
116.8281 383.0 47
117.5625 386.0 47
118.0469 390.0 47
118.5313 395.0 47
120.2344 508.0 47
120.7031 503.0 47
121.4375 496.0 47
122.1719 491.0 47
122.6563 481.0 47
123.5156 481.0 47
123.8750 479.0 47
124.4844 462.0 47
125.7188 430.0 47
126.2031 429.0 47
126.9375 423.0 47
127.2969 427.0 47
128.0313 408.0 47
128.8906 392.0 47
129.7500 401.0 47
130.8281 463.0 47
131.3125 472.0 47
132.0469 478.0 47
132.5313 481.0 47
133.1406 484.0 47
133.6250 484.0 47
134.3594 483.0 47
135.0938 474.0 47
135.8281 464.0 47
136.3125 461.0 47
137.0469 461.0 47
137.5313 461.0 47
138.0156 462.0 47
138.7500 465.0 47
139.2344 467.0 47
139.9688 470.0 47
140.5781 473.0 47
140.9375 477.0 47
141.7969 480.0 47
142.1563 484.0 47
142.8906 490.0 47
143.3750 515.0 47
145.1719 860.0 47
145.7813 854.0 47
146.8906 703.0 47
147.3750 694.0 47
147.9844 698.0 47
148.5938 704.0 47
149.5625 803.0 47
150.1719 796.0 47
150.7969 790.0 47
151.5156 783.0 47
152.1250 777.0 47
152.6094 770.0 47
153.3438 763.0 47
154.2031 627.0 47
154.8125 624.0 47
155.6719 619.0 47
156.2813 627.0 47
156.6406 636.0 47
157.1250 662.0 47
157.7344 725.0 47
158.3438 720.0 47
158.9531 715.0 47
159.5625 710.0 47
160.0469 707.0 47
160.7813 702.0 47
161.5156 699.0 47
162.0000 694.0 47
162.6094 690.0 47
163.2188 687.0 47
163.8281 682.0 47
164.4375 678.0 47
165.1719 676.0 47
165.7813 671.0 47
166.3906 667.0 47
166.8750 666.0 47
167.6094 662.0 47
168.2188 659.0 47
168.8281 656.0 47
169.5625 653.0 47
170.1719 651.0 47
170.6563 649.0 47
171.3750 646.0 47
171.8594 644.0 47
172.5938 642.0 47
173.2031 641.0 47
173.6875 638.0 47
174.4063 636.0 47
174.8906 634.0 47
175.5000 633.0 47
176.2344 632.0 47
176.9688 630.0 47
177.5625 627.0 47
178.0469 628.0 47
178.7813 624.0 47
179.2656 623.0 47
179.8750 623.0 47
180.4844 621.0 47
180.9531 620.0 47
181.6875 618.0 47
182.2969 618.0 47
183.0313 617.0 47
183.5156 616.0 47
184.1094 616.0 47
184.7188 616.0 47
185.3281 615.0 47
186.0625 615.0 47
186.5469 615.0 47
187.1406 615.0 47
187.7500 614.0 47
188.3594 614.0 47
188.9688 613.0 47
189.5781 613.0 47
190.3125 613.0 47
190.7969 613.0 47
191.5313 613.0 47
192.1406 612.0 47
192.5000 614.0 47
193.3594 614.0 47
193.9688 615.0 47
194.5781 614.0 47
195.1875 616.0 47
195.6719 616.0 47
196.4063 616.0 47
196.9063 616.0 47
197.5156 617.0 47
198.1250 619.0 47
198.7344 621.0 47
199.3438 620.0 47
199.9531 621.0 47
200.5625 623.0 47
201.0469 623.0 47
201.6563 626.0 47
202.5156 625.0 47
203.1250 629.0 47
203.6250 630.0 47
204.2344 631.0 47
204.8438 633.0 47
205.4531 635.0 47
206.0625 637.0 47
206.6719 638.0 47
207.2813 641.0 47
207.8906 642.0 47
208.5000 644.0 47
208.9844 646.0 47
209.6094 649.0 47
210.2031 651.0 47
210.8125 653.0 47
211.4219 656.0 47
212.0313 657.0 47
212.7656 661.0 47
213.2500 664.0 47
213.8594 668.0 47
214.4688 670.0 47
